shot xshot yshot zshot
30121 16.214919 -3.452457 425.891000
30122 16.880434 60.170284 427.352000
30123 18.072619 130.271105 427.952000
30124 17.949969 195.922071 429.082000
30125 18.505422 261.327727 430.323000
30126 19.062147 329.965473 431.642000
30127 19.840951 395.287380 432.864000
30128 19.583053 458.477328 434.116000
30145 -146.539743 -6.225892 425.701000
30146 -146.293200 68.272458 426.402000
30147 -146.205091 131.717708 427.368000
30148 -146.111982 195.290924 428.194000
30149 -145.234298 268.142288 429.135000
30150 -143.410063 332.619995 430.104000
30151 -143.764794 401.330869 430.989000
30152 -143.885489 467.231828 431.882000
30153 -143.572528 532.831386 432.855000
30154 -143.846337 599.613569 433.680000
30155 -142.556865 662.205400 434.590000
30169 -237.249236 -5.550574 425.240000
30170 -245.824664 61.568533 425.928000
30171 -247.366665 135.492850 426.905000
30172 -252.020273 200.783235 427.735000
30173 -257.846331 268.066849 428.629000
30174 -264.007713 332.368993 429.415000
30175 -266.667202 392.295621 430.250000
30176 -271.251481 462.359609 431.123000
30177 -278.102922 526.401142 431.915000
30178 -283.161318 597.730876 432.983000
40121 16.214919 -3.452457 425.891000
40122 16.880434 60.170284 427.352000
40123 18.072619 130.271105 427.952000
40124 17.949969 195.922071 429.082000
40125 18.505422 261.327727 430.323000
40126 19.062147 329.965473 431.642000
40127 19.840951 395.287380 432.864000
40128 19.583053 458.477328 434.116000
40129 20.235158 536.754622 434.932000
40130 20.604673 601.401709 435.699000
40145 -146.539743 -6.225892 425.701000
40146 -146.293200 68.272458 426.402000
40147 -146.205091 131.717708 427.368000
40148 -146.111982 195.290924 428.194000
40149 -145.234298 268.142288 429.135000
40150 -143.410063 332.619995 430.104000
40151 -143.764794 401.330869 430.989000
40152 -143.885489 467.231828 431.882000
40153 -143.572528 532.831386 432.855000
40154 -143.846337 599.613569 433.680000
40155 -142.556865 662.205400 434.590000
40169 -237.249236 -5.550574 425.240000
40170 -245.824664 61.568533 425.928000
40171 -247.366665 135.492850 426.905000
40172 -252.020273 200.783235 427.735000
40173 -257.846331 268.066849 428.629000
40174 -264.007713 332.368993 429.415000
40175 -266.667202 392.295621 430.250000
40178 -283.161318 597.730876 432.983000
